n = 14, m = 2, phi[n] = 6, phi[m] = 1 4
n = 14, m = 3, phi[n] = 6, phi[m] = 2 4
n = 14, m = 4, phi[n] = 6, phi[m] = 2 7
n = 14, m = 5, phi[n] = 6, phi[m] = 4 7
n = 14, m = 6, phi[n] = 6, phi[m] = 2 6
n = 14, m = 7, phi[n] = 6, phi[m] = 6 6
n = 14, m = 8, phi[n] = 6, phi[m] = 4 6
n = 14, m = 9, phi[n] = 6, phi[m] = 6 6
n = 14, m = 10, phi[n] = 6, phi[m] = 4 6
n = 14, m = 11, phi[n] = 6, phi[m] = 10 6
n = 14, m = 12, phi[n] = 6, phi[m] = 4 6
n = 14, m = 13, phi[n] = 6, phi[m] = 12 6
n = 14, m = 14, phi[n] = 6, phi[m] = 6 6
n = 15, m = 0, phi[n] = 8, phi[m] = 0 0
n = 15, m = 1, phi[n] = 8, phi[m] = 1 2
n = 15, m = 2, phi[n] = 8, phi[m] = 1 4
n = 15, m = 3, phi[n] = 8, phi[m] = 2 4
n = 15, m = 4, phi[n] = 8, phi[m] = 2 7
n = 15, m = 5, phi[n] = 8, phi[m] = 4 7
n = 15, m = 6, phi[n] = 8, phi[m] = 2 6
n = 15, m = 7, phi[n] = 8, phi[m] = 6 6
n = 15, m = 8, phi[n] = 8, phi[m] = 4 8
n = 15, m = 9, phi[n] = 8, phi[m] = 6 8
n = 15, m = 10, phi[n] = 8, phi[m] = 4 8
n = 15, m = 11, phi[n] = 8, phi[m] = 10 8
n = 15, m = 12, phi[n] = 8, phi[m] = 4 8
n = 15, m = 13, phi[n] = 8, phi[m] = 12 8
n = 15, m = 14, phi[n] = 8, phi[m] = 6 8
n = 15, m = 15, phi[n] = 8, phi[m] = 8 8
n = 16, m = 0, phi[n] = 8, phi[m] = 0 0
n = 16, m = 1, phi[n] = 8, phi[m] = 1 2
n = 16, m = 2, phi[n] = 8, phi[m] = 1 4
n = 16, m = 3, phi[n] = 8, phi[m] = 2 4
n = 16, m = 4, phi[n] = 8, phi[m] = 2 7
n = 16, m = 5, phi[n] = 8, phi[m] = 4 7
n = 16, m = 6, phi[n] = 8, phi[m] = 2 6
n = 16, m = 7, phi[n] = 8, phi[m] = 6 6
n = 16, m = 8, phi[n] = 8, phi[m] = 4 9
n = 16, m = 9, phi[n] = 8, phi[m] = 6 9
n = 16, m = 10, phi[n] = 8, phi[m] = 4 10
n = 16, m = 11, phi[n] = 8, phi[m] = 10 10
n = 16, m = 12, phi[n] = 8, phi[m] = 4 10
n = 16, m = 13, phi[n] = 8, phi[m] = 12 10
n = 16, m = 14, phi[n] = 8, phi[m] = 6 10
n = 16, m = 15, phi[n] = 8, phi[m] = 8 10
n = 16, m = 16, phi[n] = 8, phi[m] = 8 10
n = 17, m = 0, phi[n] = 16, phi[m] = 0 0
n = 17, m = 1, phi[n] = 16, phi[m] = 1 2
n = 17, m = 2, phi[n] = 16, phi[m] = 1 4
n = 17, m = 3, phi[n] = 16, phi[m] = 2 4
n = 17, m = 4, phi[n] = 16, phi[m] = 2 7
n = 17, m = 5, phi[n] = 16, phi[m] = 4 7
n = 17, m = 6, phi[n] = 16, phi[m] = 2 6
n = 17, m = 7, phi[n] = 16, phi[m] = 6 6
n = 17, m = 8, phi[n] = 16, phi[m] = 4 9
